air/co_daily_summary.o3_AQI,air/co_daily_summary.f0_,air/co_daily_summary.f1_,air/co_daily_summary.f2_,air/co_daily_summary.f3_,air/co_daily_summary.f4_,air/co_daily_summary.f5_,air/co_daily_summary.f6_,Day
12.484536082474223,1.357260556127705,10.650875386199784,23.32440782698249,97.2255406797118,Alabama,Jefferson,Birmingham,1994-06-08
6.724137931034484,0.6994987684729068,9.46305418719213,23.543103448275843,98.13546798029556,Alabama,Jefferson,Birmingham,2004-06-23
12.470707070707068,1.3308392315470177,9.757330637007083,23.262891809909025,96.96663296258843,Alabama,Jefferson,Birmingham,1995-08-23
3.6857142857142855,0.4066714285714286,7.12857142857143,23.27142857142857,97.04285714285714,Louisiana,Orleans,New Orleans,2022-04-04
18.29038461538464,2.051585014409226,11.400576368876091,23.498559077809787,97.95100864553288,Alabama,Jefferson,Birmingham,1996-01-29
4.958762886597934,0.4926202749140885,7.6649484536082415,23.054982817869423,96.11168384879724,Pennsylvania,York,York,2017-01-04
6.643646408839779,0.6893232044198894,8.142265193370164,23.47375690607732,97.84392265193364,Alabama,Jefferson,Birmingham,2006-07-14
17.314732142857142,1.9225698324022351,10.508379888268175,22.98435754189944,95.808938547486,Alabama,Jefferson,Birmingham,1990-09-18
3.248,0.3348,7.089999999999999,23.505999999999997,97.974,Arizona,Maricopa,Buckeye,2020-05-08
5.9288389513108655,0.6068295880149809,8.750936329588024,23.361423220973784,97.39513108614229,Arizona,Maricopa,Buckeye,2018-01-05
5.7398648648648605,0.6039932546374369,8.047217537942661,22.8026981450253,95.0876897133221,Pennsylvania,York,York,2014-11-24
10.738095238095235,1.063163596966413,7.38244853737811,23.60455037919827,98.3911159263273,Alabama,Jefferson,Birmingham,2000-04-02
12.596348884381344,1.3425531914893618,10.19858156028368,23.355623100303944,97.35663627152992,Alabama,Jefferson,Birmingham,1995-07-20
6.814492753623184,0.7373492753623198,8.73188405797102,23.31884057971015,97.2144927536231,Arizona,Maricopa,Buckeye,2009-02-18
8.006993006993008,0.8100233100233105,8.186480186480194,23.61538461538465,98.42540792540802,Alabama,Jefferson,Birmingham,2001-08-05
14.05186721991701,1.427102803738317,9.07580477673934,23.61993769470405,98.44859813084108,Alabama,Jefferson,Birmingham,1995-04-02
20.115686274509795,2.170588235294118,12.566666666666666,23.33529411764706,97.27352941176493,Alabama,Jefferson,Birmingham,1995-01-03
4.409252669039142,0.4706334519572954,6.946619217081847,22.93416370106762,95.61209964412804,Ohio,Belmont,Shadyside,2016-09-26
11.294906166219834,1.185053619302947,8.41018766756032,23.45576407506701,97.7734584450402,Alabama,Jefferson,Birmingham,2007-01-25
3.488095238095241,0.4044642857142858,6.313492063492063,23.384920634920647,97.484126984127,Arizona,Maricopa,Buckeye,2020-03-31
7.961852861035423,0.8368952380952386,8.869387755102041,23.531972789115606,98.08299319727888,Alabama,Jefferson,Birmingham,2007-03-16
7.83066361556064,0.8313860252004585,8.051546391752584,23.481099656357426,97.8797250859106,Alabama,Jefferson,Birmingham,2001-07-10
15.307159353348723,1.6532947976878616,9.738728323699428,23.07167630057801,96.1757225433525,Alabama,Jefferson,Birmingham,1990-08-13
3.551020408163263,0.3760204081632658,7.710884353741493,23.170068027210892,96.60374149659869,Pennsylvania,York,York,2014-05-30
3.5607142857142864,0.3514946428571429,5.710714285714287,23.60357142857144,98.39642857142856,Pennsylvania,York,York,2017-05-21
3.0278745644599283,0.3326480836236937,7.006968641114981,23.346689895470384,97.3257839721254,Massachusetts,Worcester,Worcester,2015-07-22
5.732394366197183,0.6223563380281693,8.414084507042261,23.33661971830988,97.28450704225362,Alabama,Jefferson,Birmingham,2007-09-18
3.565737051792828,0.3690478087649402,8.788844621513954,23.63944223107569,98.52988047808768,Arizona,Maricopa,Buckeye,2020-07-04
13.415948275862062,1.3392241379310337,8.162715517241368,23.72090517241378,98.86099137931032,Alabama,Jefferson,Birmingham,1992-04-26
11.008988764044927,1.148314606741574,9.993258426966294,23.749438202247184,98.9797752808988,Alabama,Jefferson,Birmingham,2001-09-29
7.040476190476187,0.7110011918951131,8.70441001191896,23.407628128724696,97.57091775923716,Alabama,Jefferson,Birmingham,2005-03-23
21.154761904761912,2.239583333333334,12.558531746031756,23.495039682539684,97.938492063492,Alabama,Jefferson,Birmingham,1996-12-26
15.89425287356323,1.5874856486796776,7.211251435132035,23.71526980482206,98.82893226176807,Alabama,Jefferson,Birmingham,1990-04-28
4.458193979933112,0.4996677796327205,8.145242070116856,23.180300500834715,96.63272120200328,Pennsylvania,York,York,2014-03-13
6.1382113821138224,0.6389579375848037,7.953867028493902,23.377204884667567,97.44369063772044,Alabama,Jefferson,Birmingham,2006-05-03
3.591216216216216,0.3493591905564922,6.055649241146712,23.68634064080944,98.73524451939284,Pennsylvania,York,York,2012-06-09
4.013289036544848,0.4369867109634551,6.45847176079734,23.1528239202658,96.52990033222586,Pennsylvania,York,York,2013-09-16
4.026578073089703,0.4077292358803985,8.495016611295696,23.63787375415282,98.53820598006634,Montana,Gallatin,West Yellowstone,2010-07-04
31.246835443037966,3.141605068637801,10.508975712777191,23.859556494192194,99.43083421330508,Alabama,Jefferson,Birmingham,1990-01-06
7.674999999999999,0.8144462499999993,8.293749999999996,23.54375000000001,98.1375,Alabama,Jefferson,Birmingham,2004-08-17
5.646464646464649,0.5780690235690238,10.513468013468009,23.21548821548821,96.7845117845117,Pennsylvania,York,York,2014-12-12
3.198443579766538,0.334737354085603,7.696498054474705,23.10311284046692,96.3132295719844,Arizona,Maricopa,Buckeye,2019-07-15
16.427350427350415,1.654594017094016,9.894230769230775,23.77884615384616,99.09935897435896,Alabama,Jefferson,Birmingham,2001-11-03
21.03200000000001,2.108517034068137,9.73847695390782,23.605210420841708,98.37474949899811,Alabama,Jefferson,Birmingham,1992-11-29
21.43106796116504,2.3822157434402302,9.869776482021368,23.321671525753164,97.2128279883382,Alabama,Jefferson,Birmingham,1997-02-03
6.52145214521452,0.6672623762376234,6.795379537953794,23.62211221122111,98.47689768976883,Pennsylvania,York,York,2013-02-03
3.496478873239436,0.361658450704225,5.836267605633809,23.32042253521127,97.2165492957747,Pennsylvania,York,York,2015-08-10
14.263888888888877,1.585119047619049,10.494047619047617,23.57043650793652,98.24503968253968,Alabama,Jefferson,Birmingham,2000-03-24
4.951672862453533,0.4951301115241635,9.401486988847584,23.58178438661709,98.29182156133832,Arizona,Maricopa,Buckeye,2018-12-29
9.825806451612896,1.0486544671689997,9.63616792249731,23.290635091496263,97.0828848223895,Alabama,Jefferson,Birmingham,1999-08-19
6.117302052785924,0.6514545454545447,8.631964809384169,23.705278592375365,98.80205278592376,Arizona,Maricopa,Buckeye,2009-02-16
3.011450381679388,0.317925572519084,6.81488549618321,23.011450381679392,95.93129770992368,Arizona,Maricopa,Buckeye,2019-06-13
4.4747774480712215,0.4367166172106819,5.566765578635014,23.70474777448073,98.8041543026704,Montana,Gallatin,West Yellowstone,2008-07-12
5.896640826873383,0.6151240310077513,7.38888888888889,23.41731266149869,97.61498708010332,Alabama,Jefferson,Birmingham,2005-05-24
13.15157894736843,1.4229232386961068,9.827549947423774,23.250262881177715,96.91798107255516,Alabama,Jefferson,Birmingham,1994-05-25
18.922594142259403,2.136715481171548,11.665271966527174,23.51255230125522,98.00209205020928,Alabama,Jefferson,Birmingham,1994-09-30
4.257352941176471,0.4799338235294118,7.134191176470587,22.926470588235293,95.58272058823528,Arizona,Maricopa,Buckeye,2018-10-17
2.6653386454183257,0.2862509960159359,8.880478087649404,23.35458167330676,97.3466135458168,Arizona,Maricopa,Buckeye,2020-04-10
5.641638225255976,0.540699145299146,8.000000000000002,23.524786324786337,98.06837606837614,Arizona,Maricopa,Buckeye,2016-01-09
8.101910828025481,0.8729586426299045,10.11346765641569,23.41569459172855,97.60127253446448,Alabama,Jefferson,Birmingham,2000-06-09
2.8,0.2983857142857143,7.642857142857144,23.14285714285714,96.47142857142856,Louisiana,Orleans,New Orleans,2022-04-19
5.250936329588018,0.530224719101123,9.363295880149822,23.720973782771527,98.87453183520596,Arizona,Maricopa,Buckeye,2018-11-24
4.733812949640288,0.4876050269299821,7.800718132854571,23.01256732495512,95.9389587073608,Pennsylvania,York,York,2017-11-02
21.90258449304173,2.455168986083497,10.316103379721682,23.41351888667989,97.5914512922464,Alabama,Jefferson,Birmingham,1994-10-28
